"Mark","Company","Symbol","Category","LTP","Change %","5 Days %","10 Days %","15 Days %","20 Days %","1 Month %","2 Month %","3 Month %","Week 52 Low %","Week 52 High %",
"Yes","Britannia Industries Ltd.","BRITANNIA","CONSUMER GOODS","3,524.00","(1.90)%","(0.20)%","0.75%","1.10%","0.56%","5.03%","14.98%","9.11%","39.89%","(3.30)%",
"No","Ramkrishna Forgings Ltd.","RKFORGE","INDUSTRIAL MANUFACTURING","491.00","(0.61)%","(0.20)%","0.08%","0.36%","0.01%","(4.83)%","24.78%","26.03%","92.55%","(10.72)%",
"Yes","Divi's Laboratories Ltd.","DIVISLAB","PHARMA","625.65","(0.20)%","(0.21)%","(0.86)%","0.04%","(0.28)%","0.54%","(17.19)%","(15.05)%","3.24%","(54.72)%",
"No","Birla Corporation Ltd.","BIRLACORPN","CEMENT & CEMENT PRODUCTS","774.00","0.59%","(0.22)%","0.27%","0.73%","0.43%","3.20%","12.01%","3.98%","114.70%","(3.73)%",
"No","VST Industries Ltd.","VSTIND","CONSUMER GOODS","3,040.00","(0.33)%","(0.22)%","(0.01)%","0.25%","(0.10)%","3.05%","12.18%","13.79%","87.07%","(6.14)%",
"Yes","Reliance Capital Ltd.","RELCAPITAL","FINANCIAL SERVICES","651.35","(3.07)%","(0.23)%","2.09%","1.73%","0.96%","7.31%","20.06%","35.16%","78.38%","(5.77)%",
"Yes","InterGlobe Aviation Ltd.","INDIGO","SERVICES","1,115.10","0.78%","(0.23)%","0.06%","(0.21)%","0.52%","7.40%","29.81%","31.81%","41.13%","(4.59)%",
"No","Gujarat Mineral Development Corporation Ltd.","GMDCLTD","METALS","121.55","(2.09)%","(0.23)%","(0.58)%","0.39%","0.19%","(2.09)%","5.70%","1.04%","88.30%","(7.88)%",
"Yes","Bharat Petroleum Corporation Ltd.","BPCL","ENERGY","724.70","(0.93)%","(0.24)%","0.05%","0.43%","0.14%","7.24%","12.33%","1.00%","64.49%","(3.83)%",
"No","Thermax Ltd.","THERMAX","INDUSTRIAL MANUFACTURING","1,014.00","(2.04)%","(0.25)%","(0.37)%","0.79%","0.49%","4.21%","17.09%","16.26%","46.96%","(5.23)%",
"Yes","Housing Development Finance Corporation Ltd.","HDFC","FINANCIAL SERVICES","1,543.00","(1.36)%","(0.25)%","0.09%","0.88%","0.92%","4.14%","13.04%","9.67%","40.53%","(3.07)%",
"No","Astral Poly Technik Ltd.","ASTRAL","INDUSTRIAL MANUFACTURING","548.85","1.08%","(0.25)%","(0.61)%","(0.73)%","(0.40)%","(0.75)%","24.50%","23.34%","49.53%","(7.18)%",
"No","Capital First Ltd.","CAPF","FINANCIAL SERVICES","744.10","(2.32)%","(0.26)%","(0.70)%","(0.20)%","(0.18)%","(2.03)%","17.74%","10.07%","63.05%","(8.53)%",
"No","Tide Water Oil (India) Ltd.","TIDEWATER","ENERGY","6,015.00","(1.25)%","(0.26)%","0.43%","0.03%","(0.18)%","(3.91)%","0.91%","(3.16)%","15.67%","(8.79)%",
"Yes","Ambuja Cements Ltd.","AMBUJACEM","CEMENT & CEMENT PRODUCTS","245.70","0.74%","(0.26)%","(0.17)%","0.54%","(0.02)%","0.94%","9.25%","4.38%","28.64%","(12.78)%",
"No","Rolta India Ltd.","ROLTA","IT","59.35","(1.66)%","(0.27)%","(1.00)%","(0.31)%","0.55%","(2.47)%","(2.38)%","(8.41)%","16.37%","(30.46)%",
"No","Grindwell Norton Ltd.","GRINDWELL","INDUSTRIAL MANUFACTURING","391.00","(0.27)%","(0.27)%","0.45%","(0.20)%","0.12%","10.14%","15.00%","18.84%","35.76%","(3.68)%",
"No","Texmaco Rail & Eng. Ltd.","TEXRAIL","INDUSTRIAL MANUFACTURING","97.00","(1.72)%","(0.28)%","0.03%","0.71%","0.32%","(0.46)%","6.30%","(0.21)%","14.25%","(17.69)%",
"No","CCL Products (I) Ltd.","CCL","CONSUMER GOODS","339.05","(0.44)%","(0.28)%","(0.15)%","(0.59)%","(0.02)%","(2.81)%","(4.76)%","8.50%","61.34%","(8.86)%",
"No","Himatsingka Seide Ltd.","HIMATSEIDE","TEXTILES","343.30","1.85%","(0.28)%","(1.32)%","0.21%","0.11%","1.27%","(1.91)%","(4.90)%","62.70%","(10.82)%",
"Yes","Phoenix Mills Ltd.","PHOENIXLTD","CONSTRUCTION","404.50","(1.55)%","(0.30)%","0.23%","0.63%","(0.07)%","(3.69)%","7.87%","15.57%","42.88%","(9.90)%",
"Yes","Colgate Palmolive (India) Ltd.","COLPAL","CONSUMER GOODS","1,010.00","(3.06)%","(0.30)%","(0.26)%","0.50%","0.49%","(0.25)%","8.78%","12.72%","28.30%","(3.72)%",
"Yes","GlaxoSmithkline Consumer Healthcare Ltd.","GSKCONS","CONSUMER GOODS","5,157.00","0.51%","(0.31)%","(0.37)%","(0.35)%","(0.12)%","(0.52)%","(0.88)%","1.52%","9.54%","(21.86)%",
"Yes","Delta Corp Ltd.","DELTACORP","CONSTRUCTION","159.25","(1.33)%","(0.31)%","(1.90)%","(0.79)%","(0.44)%","(12.52)%","(6.54)%","23.21%","107.22%","(27.05)%",
"Yes","TVS Motor Company Ltd.","TVSMOTOR","AUTOMOBILE","491.05","(1.25)%","(0.32)%","0.48%","0.72%","0.73%","4.04%","15.96%","24.92%","76.95%","(5.30)%",
"Yes","DLF Ltd.","DLF","CONSTRUCTION","185.60","(0.43)%","(0.32)%","(0.44)%","1.75%","2.27%","20.64%","27.87%","28.44%","83.76%","(6.00)%",
"Yes","Kaveri Seed Company Ltd.","KSCL","CONSUMER GOODS","563.90","2.11%","(0.33)%","(0.45)%","0.35%","0.63%","2.53%","8.11%","21.43%","73.78%","(4.36)%",
"No","Whirlpool of India Ltd.","WHIRLPOOL","CONSUMER GOODS","1,187.00","(1.86)%","(0.34)%","(0.26)%","(0.14)%","0.04%","(2.78)%","12.62%","15.35%","68.74%","(7.88)%",
"No","Persistent Systems Ltd.","PERSISTENT","IT","578.50","(0.67)%","(0.36)%","0.74%","0.53%","0.30%","1.60%","(7.44)%","(3.59)%","3.49%","(22.23)%",
"No","The Ramco Cements Ltd.","RAMCOCEM","CEMENT & CEMENT PRODUCTS","677.00","(0.61)%","(0.37)%","(0.34)%","0.40%","0.46%","(0.15)%","3.83%","(0.44)%","45.58%","(7.01)%",
"Yes","D.B.Corp Ltd.","DBCORP","MEDIA & ENTERTAINMENT","392.00","6.26%","(0.37)%","(0.24)%","0.09%","(0.17)%","0.77%","4.24%","3.43%","26.35%","(12.44)%",
"No","Chennai Petroleum Corporation Ltd.","CHENNPETRO","ENERGY","374.70","(0.46)%","(0.38)%","0.17%","0.76%","(0.31)%","0.08%","1.00%","6.69%","110.51%","(7.41)%",
"Yes","Orissa Min Dev Co Ltd.","ORISSAMINE","METALS","2,068.00","(1.41)%","(0.38)%","(0.41)%","(0.30)%","(0.36)%","(2.73)%","(2.77)%","(10.82)%","14.89%","(23.24)%",
"No","Balkrishna Industries Ltd.","BALKRISIND","AUTOMOBILE","1,520.00","1.17%","(0.39)%","0.62%","1.73%","1.17%","9.74%","15.06%","33.09%","136.32%","(4.00)%",
"No","Suzlon Energy Ltd.","SUZLON","INDUSTRIAL MANUFACTURING","20.25","(1.70)%","(0.39)%","0.11%","0.76%","0.50%","7.43%","14.73%","27.76%","68.75%","(5.37)%",
"No","Shilpa Medicare Ltd.","SHILPAMED","PHARMA","697.00","(0.21)%","(0.39)%","(0.26)%","(0.01)%","(0.02)%","3.26%","9.41%","(3.19)%","60.21%","(11.42)%",
"No","Century Plyboards (India) Ltd.","CENTURYPLY","CONSUMER GOODS","254.75","(0.64)%","(0.41)%","(1.17)%","(0.28)%","(0.02)%","(2.02)%","4.41%","18.21%","64.94%","(5.89)%",
"No","ITD Cementation India Ltd.","ITDCEM","CONSTRUCTION","186.00","(1.12)%","(0.41)%","0.49%","1.40%","0.85%","10.75%","24.83%","18.77%","56.83%","(4.07)%",
"No","Kwality Ltd.","KWALITY","CONSUMER GOODS","150.30","0.03%","(0.42)%","(1.74)%","(1.40)%","(0.14)%","(7.39)%","(8.94)%","6.60%","52.36%","(10.96)%",
"No","Bharat Financial Inclusion Ltd.","BHARATFIN","FINANCIAL SERVICES","787.50","0.77%","(0.43)%","(0.25)%","1.25%","0.75%","(0.19)%","(3.56)%","(4.31)%","69.32%","(16.13)%",
"Yes","Tech Mahindra Ltd.","TECHM","IT","413.75","(1.28)%","(0.44)%","(1.04)%","0.22%","(0.40)%","(6.50)%","(17.17)%","(12.15)%","2.03%","(26.64)%",
"Yes","Sundaram Finance Ltd.","SUNDARMFIN","FINANCIAL SERVICES","1,557.25","(2.30)%","(0.44)%","(0.31)%","(0.37)%","(0.56)%","(3.93)%","10.76%","11.39%","41.31%","(10.51)%",
"Yes","Yes Bank Ltd.","YESBANK","BANK","1,611.50","(0.94)%","(0.45)%","1.46%","0.58%","(0.24)%","3.55%","11.14%","15.27%","77.94%","(2.45)%",
"No","Thyrocare Technologies Ltd.","THYROCARE","HEALTHCARE SERVICES","708.00","(0.35)%","(0.45)%","(0.44)%","(0.36)%","(0.37)%","(5.98)%","2.98%","(3.87)%","35.32%","(9.23)%",
"No","Fag Bearings India Ltd.","FAGBEARING","INDUSTRIAL MANUFACTURING","4,780.00","(0.68)%","(0.45)%","(0.33)%","0.76%","0.67%","5.06%","15.18%","13.54%","26.79%","(4.09)%",
"Yes","Bajaj Finserv Ltd.","BAJAJFINSV","FINANCIAL SERVICES","4,395.05","(3.82)%","(0.45)%","0.24%","1.05%","0.04%","4.10%","15.93%","19.30%","154.70%","(7.47)%",
"No","Gati Ltd.","GATI","SERVICES","134.40","(2.11)%","(0.45)%","(0.24)%","0.45%","(0.01)%","(4.65)%","3.90%","7.26%","25.72%","(29.02)%",
"No","India Cements Ltd.","INDIACEM","CEMENT & CEMENT PRODUCTS","206.30","(3.42)%","(0.46)%","1.29%","2.77%","3.88%","26.49%","25.95%","24.88%","148.55%","(6.78)%",
"No","Endurance Technologies Ltd.","ENDURANCE","AUTOMOBILE","792.60","(1.52)%","(0.47)%","(1.06)%","(0.38)%","(0.18)%","(0.43)%","13.07%","24.23%","52.79%","(7.56)%",
"No","Reliance Industrial Infrastructure Ltd.","RIIL","INDUSTRIAL MANUFACTURING","481.30","(3.05)%","(0.48)%","(0.35)%","0.40%","0.26%","0.45%","2.98%","17.65%","43.03%","(7.97)%",
"No","Cholamandalam Investment and Finance Company Ltd.","CHOLAFIN","FINANCIAL SERVICES","1,099.90","1.37%","(0.48)%","(0.64)%","1.52%","0.45%","9.45%","17.76%","4.26%","36.79%","(11.51)%",
"Yes","Eros Intl Media Ltd.","EROSMEDIA","MEDIA & ENTERTAINMENT","218.40","(2.11)%","(0.49)%","(1.29)%","(3.01)%","(1.01)%","(12.25)%","(3.79)%","12.58%","53.80%","(29.19)%",
"No","SRF Ltd.","SRF","TEXTILES","1,758.00","0.51%","(0.49)%","0.85%","0.87%","0.86%","7.26%","10.80%","0.06%","50.86%","(10.76)%",
"No","Hindustan Copper Ltd.","HINDCOPPER","METALS","63.50","(2.61)%","(0.49)%","(0.40)%","(0.12)%","(0.04)%","(5.37)%","(7.57)%","(5.01)%","51.19%","(13.96)%",
"No","Deepak Fertilisers & Petrochemicals Corp. Ltd.","DEEPAKFERT","CHEMICALS","263.60","(1.95)%","(0.50)%","(1.37)%","(0.87)%","0.63%","3.35%","5.86%","(1.27)%","76.79%","(10.23)%",
"No","BGR Energy Systems Ltd","BGRENERGY","CONSTRUCTION","160.45","(3.75)%","(0.50)%","(0.93)%","(0.86)%","(0.21)%","(6.17)%","18.41%","14.20%","61.74%","(12.51)%",
"Yes","HDFC Bank Ltd.","HDFCBANK","BANK","1,531.00","(0.25)%","(0.50)%","0.08%","1.16%","1.10%","6.32%","10.38%","17.14%","37.40%","(2.73)%",
"Yes","Sun Pharmaceutical Industries Ltd.","SUNPHARMA","PHARMA","629.50","(0.32)%","(0.50)%","(0.47)%","(0.76)%","(1.13)%","(5.62)%","(7.35)%","(6.18)%","10.07%","(26.37)%",
"No","KRBL Ltd.","KRBL","CONSUMER GOODS","417.00","(2.62)%","(0.51)%","(0.23)%","0.17%","0.79%","1.93%","10.30%","7.74%","91.72%","(6.08)%",
"No","Lakshmi Vilas Bank Ltd.","LAKSHVILAS","BANK","178.50","(0.56)%","(0.52)%","(2.74)%","0.64%","1.38%","6.89%","6.25%","23.49%","137.84%","(11.96)%",
"Yes","Justdial Ltd.","JUSTDIAL","IT","494.00","(2.31)%","(0.53)%","(1.22)%","(0.59)%","0.11%","(4.46)%","(16.74)%","23.58%","55.32%","(40.70)%",
"No","Nitin Fire Protection Industries Ltd.","NITINFIRE","INDUSTRIAL MANUFACTURING","23.10","(2.12)%","(0.53)%","(0.86)%","(0.35)%","(0.11)%","(7.78)%","(1.70)%","(27.47)%","8.96%","(39.69)%",
"Yes","Cipla Ltd.","CIPLA","PHARMA","548.50","(0.26)%","(0.53)%","0.00%","(0.68)%","(0.63)%","(7.16)%","(6.72)%","(8.14)%","19.90%","(11.71)%",
"No","D B Realty Ltd.","DBREALTY","CONSTRUCTION","46.40","(2.62)%","(0.54)%","(1.91)%","(0.90)%","0.42%","5.10%","9.69%","6.91%","32.57%","(25.64)%",
"Yes","Welspun Corp Ltd.","WELCORP","METALS","81.20","(0.73)%","(0.54)%","(0.61)%","0.31%","(0.12)%","(1.69)%","(6.61)%","(2.70)%","47.50%","(24.43)%",
"No","Bharat Electronics Ltd.","BEL","INDUSTRIAL MANUFACTURING","179.45","(1.27)%","(0.54)%","0.06%","0.19%","0.83%","7.20%","(88.25)%","(88.59)%","17.25%","(88.96)%",
"No","GHCL Ltd.","GHCL","CHEMICALS","253.10","(1.63)%","(0.54)%","(0.31)%","(0.37)%","(0.51)%","(5.95)%","(3.97)%","(5.84)%","88.88%","(15.35)%",
"No","PI Industries Ltd.","PIIND","FERTILISERS & PESTICIDES","843.10","(2.10)%","(0.56)%","(0.60)%","0.50%","0.73%","1.33%","2.91%","(7.86)%","42.51%","(12.54)%",
"No","Dr. Lal Path Labs Ltd.","LALPATHLAB","HEALTHCARE SERVICES","955.55","2.74%","(0.57)%","(0.41)%","0.00%","(0.23)%","(0.36)%","1.77%","(12.76)%","24.10%","(25.35)%",
"No","Fortis Healthcare Ltd.","FORTIS","HEALTHCARE SERVICES","211.30","(2.67)%","(0.57)%","0.38%","1.24%","1.87%","13.72%","17.39%","13.66%","48.54%","(7.71)%",
"No","3M India Ltd.","3MINDIA","SERVICES","11,340.00","(1.19)%","(0.57)%","(0.30)%","(0.72)%","(0.76)%","(4.47)%","5.00%","(4.67)%","13.30%","(25.64)%",
"No","Atul Ltd.","ATUL","CHEMICALS","2,440.00","2.85%","(0.57)%","(1.17)%","(0.08)%","(0.20)%","1.04%","11.93%","2.47%","37.03%","(5.05)%",
"No","Rallis India Ltd.","RALLIS","FERTILISERS & PESTICIDES","237.55","(0.59)%","(0.59)%","(0.89)%","(1.11)%","(0.52)%","(4.79)%","(0.44)%","(1.04)%","31.68%","(10.44)%",
"Yes","CG Power and Industrial Solutions Ltd.","CGPOWER","INDUSTRIAL MANUFACTURING","77.85","0.26%","(0.60)%","(0.44)%","(0.43)%","(0.21)%","(1.64)%","","","40.02%","(12.43)%",
"No","Bata India Ltd.","BATAINDIA","CONSUMER GOODS","570.30","(2.48)%","(0.61)%","(0.04)%","0.39%","0.29%","1.80%","12.71%","13.15%","42.86%","(7.06)%",
"Yes","Indian Oil Corporation Ltd.","IOC","ENERGY","433.25","(0.55)%","(0.62)%","0.56%","0.55%","0.49%","9.02%","14.46%","10.23%","120.73%","(3.78)%",
"Yes","Unitech Ltd.","UNITECH","CONSTRUCTION","5.65","0.89%","(0.63)%","(1.44)%","(0.50)%","(0.16)%","","(5.04)%","(15.67)%","54.79%","(37.57)%",
"Yes","Amara Raja Batteries Ltd.","AMARAJABAT","AUTOMOBILE","875.00","(0.73)%","(0.63)%","0.11%","0.33%","0.37%","(1.91)%","3.98%","(1.46)%","6.71%","(18.96)%",
"Yes","Jagran Prakashan Ltd.","JAGRAN","MEDIA & ENTERTAINMENT","192.75","(0.54)%","(0.64)%","0.37%","(0.10)%","(0.22)%","2.99%","2.99%","2.20%","19.65%","(9.53)%",
"No","Balmer Lawrie & Co. Ltd.","BALMLAWRIE","SERVICES","232.30","(0.58)%","(0.64)%","0.04%","0.01%","0.00%","(4.56)%","6.32%","4.73%","65.64%","(18.99)%",
"Yes","Hindustan Media Vent Ltd.","HMVL","MEDIA & ENTERTAINMENT","286.00","(0.05)%","(0.64)%","(0.43)%","(0.19)%","(0.08)%","(1.00)%","5.15%","3.96%","13.40%","(8.92)%",
"No","Finolex Industries Ltd.","FINPIPE","INDUSTRIAL MANUFACTURING","575.00","4.16%","(0.64)%","(0.41)%","0.46%","0.24%","0.84%","7.48%","16.21%","59.72%","(4.01)%",
"Yes","I T C Ltd.","ITC","CONSUMER GOODS","277.55","(1.30)%","(0.64)%","(0.53)%","0.36%","0.05%","1.72%","4.99%","0.22%","36.05%","(5.24)%",
"Yes","Bharat Heavy Electricals Ltd.","BHEL","INDUSTRIAL MANUFACTURING","172.40","(1.29)%","(0.64)%","(0.40)%","0.11%","0.26%","(1.34)%","7.85%","13.91%","51.56%","(5.66)%",
"No","GVK Power & Infrastructures Ltd.","GVKPIL","CONSTRUCTION","6.00","(0.83)%","(0.65)%","(1.08)%","(0.34)%","0.51%","(2.44)%","(5.51)%","(13.04)%","46.34%","(22.08)%",
"Yes","NTPC Ltd.","NTPC","ENERGY","159.65","(1.84)%","(0.66)%","(0.76)%","(0.20)%","0.05%","(5.31)%","1.49%","(7.58)%","19.68%","(10.43)%",
"No","Bajaj Holdings & Investment Ltd.","BAJAJHLDNG","FINANCIAL SERVICES","2,050.00","(2.82)%","(0.66)%","(1.07)%","0.00%","(0.13)%","(3.40)%","(3.76)%","0.99%","45.80%","(8.69)%",
"No","Reliance Defence and Engineering Ltd.","RDEL","INDUSTRIAL MANUFACTURING","63.65","(2.75)%","(0.67)%","(0.05)%","0.23%","0.00%","(4.00)%","6.62%","8.43%","31.78%","(12.81)%",
"No","Advanced Enzyme Tech Ltd.","ADVENZYMES","CONSUMER GOODS","2,055.00","(0.55)%","(0.68)%","(1.35)%","(0.51)%","0.21%","(1.25)%","23.94%","10.48%","75.94%","(13.49)%",
"Yes","Apollo Tyres Ltd.","APOLLOTYRE","AUTOMOBILE","244.50","0.70%","(0.68)%","0.29%","0.90%","1.46%","14.63%","35.19%","33.83%","75.46%","(3.83)%",
"Yes","TV18 Broadcast Ltd.","TV18BRDCST","MEDIA & ENTERTAINMENT","39.80","(2.45)%","(0.68)%","(0.71)%","(0.04)%","(1.15)%","(7.66)%","(4.44)%","1.14%","16.03%","(20.40)%",
"No","Aarti Industries Ltd.","AARTIIND","CHEMICALS","860.00","0.67%","(0.70)%","2.07%","1.36%","1.12%","10.12%","16.44%","9.25%","78.78%","(2.71)%",
"No","Schneider Electric Infrastructure Ltd.","SCHNEIDER","INDUSTRIAL MANUFACTURING","145.00","(1.63)%","(0.70)%","(1.85)%","(0.15)%","0.76%","0.17%","9.60%","2.29%","15.08%","(16.55)%",
"No","Indraprastha Gas Ltd.","IGL","ENERGY","1,027.00","(2.24)%","(0.71)%","(0.35)%","(0.21)%","0.16%","3.42%","(1.27)%","0.56%","85.01%","(5.29)%",
"Yes","Larsen & Toubro Ltd.","LT","CONSTRUCTION","1,722.00","(0.56)%","(0.73)%","(0.17)%","0.84%","0.52%","2.33%","16.05%","14.68%","40.77%","(2.93)%",
"No","Aban Offshore Ltd.","ABAN","ENERGY","217.75","(2.24)%","(0.73)%","(0.70)%","(0.34)%","(0.48)%","(5.33)%","(5.98)%","(10.89)%","15.64%","(23.85)%",
"No","Shipping Corporation of India Ltd.","SCI","SERVICES","79.65","3.31%","(0.74)%","(0.91)%","0.70%","1.43%","4.66%","27.54%","15.43%","43.51%","(5.91)%",
"No","Wonderla Holidays Ltd.","WONDERLA","SERVICES","382.00","(0.12)%","(0.74)%","(0.50)%","(0.13)%","(0.33)%","(2.05)%","(0.18)%","0.63%","20.89%","(8.94)%",
"No","ICICI Prudential Life Insurance Company Ltd.","ICICIPRULI","FINANCIAL SERVICES","393.65","0.11%","(0.75)%","(0.92)%","(0.07)%","(0.01)%","(1.82)%","6.97%","8.59%","45.26%","(7.16)%",
"No","Great Eastern Shipping Co. Ltd.","GESHIP","SERVICES","426.50","(3.39)%","(0.76)%","(0.69)%","(1.16)%","0.64%","1.39%","13.40%","11.40%","43.36%","(10.68)%",
"Yes","Tata Chemicals Ltd.","TATACHEM","CHEMICALS","636.00","(3.49)%","(0.76)%","0.42%","0.30%","0.73%","5.21%","10.86%","14.18%","60.52%","(4.58)%",
"Yes","Shriram Transport Finance Co. Ltd.","SRTRANSFIN","FINANCIAL SERVICES","1,003.70","(1.56)%","(0.77)%","(1.57)%","(1.02)%","(0.41)%","(7.75)%","5.10%","5.55%","29.00%","(24.21)%",
"No","Tamil Nadu Newsprint & Papers Ltd.","TNPL","PAPER","289.80","(1.50)%","(0.77)%","(0.45)%","(0.37)%","(1.36)%","(9.72)%","(17.62)%","(19.94)%","24.89%","(26.14)%",
"No","Sonata Software Ltd.","SONATSOFTW","IT","161.95","(0.89)%","(0.78)%","(0.48)%","0.14%","(0.50)%","(5.62)%","(14.31)%","(13.83)%","17.44%","(27.70)%",
"No","Snowman Logistics Ltd.","SNOWMAN","SERVICES","59.90","(0.58)%","(0.81)%","(0.84)%","0.03%","(0.30)%","(6.70)%","","(1.32)%","24.53%","(36.24)%",
"No","Prism Cement Ltd.","PRISMCEM","CEMENT & CEMENT PRODUCTS","115.90","(1.65)%","(0.81)%","2.03%","2.50%","1.96%","11.34%","23.23%","8.17%","58.98%","(10.29)%",
"Yes","Tata Power Co. Ltd.","TATAPOWER","ENERGY","83.10","0.12%","(0.81)%","(0.63)%","(0.21)%","(0.10)%","(4.97)%","0.24%","2.21%","24.03%","(8.83)%",
"No","WABCO India Ltd.","WABCOINDIA","AUTOMOBILE","5,900.00","(1.75)%","(0.83)%","(1.08)%","(0.42)%","(0.16)%","2.08%","11.15%","6.28%","23.43%","(9.58)%",
"Yes","Zee Learn Ltd.","ZEELEARN","MEDIA & ENTERTAINMENT","46.30","(1.17)%","(0.84)%","(0.11)%","(0.22)%","0.40%","(2.11)%","0.11%","(2.53)%","74.72%","(9.39)%",
"No","Cera Sanitaryware Ltd","CERA","CONSTRUCTION","3,011.00","(0.30)%","(0.85)%","0.04%","1.32%","1.20%","5.91%","23.13%","24.16%","62.56%","(9.17)%",
"Yes","TV Today Network Ltd.","TVTODAY","MEDIA & ENTERTAINMENT","265.80","0.78%","(0.86)%","(0.58)%","(0.36)%","(0.68)%","(4.22)%","4.24%","(2.46)%","6.70%","(26.17)%",
"No","HeidelbergCement India Ltd.","HEIDELBERG","CEMENT & CEMENT PRODUCTS","131.50","(1.28)%","(0.87)%","(0.32)%","0.17%","0.71%","3.38%","17.20%","1.39%","45.79%","(12.62)%",
"Yes","Tata Steel Ltd.","TATASTEEL","METALS","432.85","(2.17)%","(0.90)%","(0.80)%","(0.36)%","(0.92)%","(12.05)%","(10.27)%","(8.59)%","46.09%","(14.92)%",
"No","AstraZenca Pharma India Ltd.","ASTRAZEN","PHARMA","946.00","(1.23)%","(0.92)%","(1.29)%","(1.53)%","(0.83)%","0.29%","(5.21)%","0.33%","4.19%","(18.45)%",
"No","Repco Home Finance Ltd.","REPCOHOME","FINANCIAL SERVICES","742.00","(0.74)%","(0.92)%","(0.55)%","(0.26)%","0.66%","6.59%","17.09%","(0.23)%","52.27%","(17.55)%",
"No","Vinati Organics Ltd.","VINATIORGA","CHEMICALS","844.90","(0.24)%","(0.94)%","0.64%","0.85%","2.22%","15.90%","13.17%","12.82%","87.13%","(5.37)%",
"No","SKF India Ltd.","SKFINDIA","INDUSTRIAL MANUFACTURING","1,630.10","(2.41)%","(0.96)%","1.79%","1.85%","0.97%","4.46%","11.35%","21.65%","38.13%","(6.77)%",
"No","Berger Paints India Ltd.","BERGEPAINT","CONSUMER GOODS","258.25","1.61%","(0.96)%","0.30%","1.02%","1.11%","8.51%","15.29%","19.06%","45.13%","(6.70)%",
"No","Kolte-Patil Developers Ltd.","KOLTEPATIL","CONSTRUCTION","180.00","(4.05)%","(1.00)%","(0.21)%","0.47%","0.42%","(0.28)%","50.19%","71.18%","129.59%","(11.79)%",
"No","CARE Ltd.","CARERATING","FINANCIAL SERVICES","1,511.40","(2.49)%","(1.00)%","(0.22)%","0.09%","0.06%","(4.94)%","6.37%","8.59%","58.93%","(12.18)%",
"Yes","Glaxosmithkline Pharmaceuticals Ltd.","GLAXO","PHARMA","2,440.00","(1.12)%","(1.02)%","(1.33)%","(1.02)%","(1.03)%","(10.79)%","(9.29)%","(10.56)%","1.81%","(32.97)%",
"No","Mahanagar Gas Ltd.","MGL","ENERGY","991.00","(0.93)%","(1.02)%","(0.03)%","(0.01)%","0.76%","12.29%","15.77%","6.65%","101.16%","(6.06)%",
"No","Kec International Ltd.","KEC","CONSTRUCTION","211.70","(1.65)%","(1.03)%","(0.49)%","(0.43)%","0.40%","(0.38)%","27.15%","36.93%","92.02%","(8.95)%",
"Yes","Container Corporation of India Ltd.","CONCOR","SERVICES","1,190.70","0.03%","(1.03)%","(0.44)%","0.18%","0.26%","6.22%","(4.38)%","(5.41)%","41.00%","(3.98)%",
"Yes","JSW Energy Ltd.","JSWENERGY","ENERGY","64.30","2.23%","(1.06)%","0.30%","(0.04)%","(0.02)%","(3.09)%","1.10%","3.54%","21.21%","(25.66)%",
"Yes","Blue Dart Express Ltd.","BLUEDART","SERVICES","4,820.00","0.30%","(1.06)%","(0.41)%","(0.11)%","(0.40)%","(5.30)%","9.27%","12.15%","15.85%","(21.88)%",
"No","Wockhardt Ltd.","WOCKPHARMA","PHARMA","680.35","(4.75)%","(1.07)%","(1.24)%","(0.99)%","(1.03)%","(10.60)%","(7.56)%","(3.22)%","8.47%","(39.74)%",
"No","Solar Industries India Ltd.","SOLARINDS","CHEMICALS","781.00","0.03%","(1.07)%","(0.88)%","(0.34)%","(0.80)%","(5.90)%","7.43%","7.72%","32.82%","(14.64)%",
"Yes","Bharat Forge Ltd.","BHARATFORG","INDUSTRIAL MANUFACTURING","1,100.00","(1.46)%","(1.09)%","0.29%","1.35%","1.03%","2.80%","4.82%","12.13%","61.29%","(6.45)%",
"Yes","Bharti Airtel Ltd.","BHARTIARTL","TELECOM","344.50","(0.43)%","(1.10)%","(0.39)%","0.62%","0.37%","(0.10)%","(4.36)%","(2.63)%","21.71%","(14.09)%",
"No","Shree Renuka Sugars Ltd.","RENUKA","CONSUMER GOODS","14.25","(1.38)%","(1.10)%","(1.36)%","(0.20)%","0.26%","(5.63)%","(8.06)%","(14.16)%","26.67%","(25.59)%",
"No","Hindustan Construction Co. Ltd.","HCC","CONSTRUCTION","42.70","(8.07)%","(1.10)%","(0.78)%","1.05%","1.58%","4.53%","9.49%","2.64%","137.22%","(11.23)%",
"No","State Trading Corporation of India Ltd.","STCINDIA","SERVICES","166.10","(3.57)%","(1.11)%","(0.93)%","(0.37)%","(0.18)%","(1.16)%","3.36%","1.19%","104.56%","(33.93)%",
"No","GE Power India Ltd.","GEPIL","INDUSTRIAL MANUFACTURING","639.00","(0.95)%","(1.12)%","(1.21)%","1.43%","1.27%","8.31%","6.51%","(0.31)%","46.73%","(8.06)%",
"No","NLC India Ltd.","NLCINDIA","ENERGY","102.50","(1.11)%","(1.12)%","(0.65)%","0.03%","(0.34)%","(3.30)%","8.24%","5.34%","51.85%","(16.60)%",
